0 45 45 45 45 45 45 45 45 45 45 45 45 45 45 18 18 18 18 18 18 18 18 18 18 12 12 12 12 12 12 12 12 12 31 31 31 31 31 31 31 31 31 31 31 31 31 14 14 14 14 14 14 14 14 14 14 14 14 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 36 36 36 36 36 36 36 36 36 36 36 40 40 40 40 40 40
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 17 3 7 15 9 13 6 3 5 16 11 8 17 2 5 20 9 2 2 10 20 12 14 20 2 7 15 13 4 5 2 2 14 10 17 19 17 8 2 17 20 19 7 9 5 13 6 12 3 5 9 5 13 18 16 18 12 3 12 5 3 13 17 10 9 20 19 10 5 15 11 20 6 15 19 19 2 17 7 11 6 9 3 16 7 5 4 14 2 20 7 16 6 4 9 7 14 7 6 18
3 20 1 17 13 13 2 16 10 20 10 7 12 4 15 16 17 17 6 8 8 12 8 20 8 1 10 6 7 14 3 14 1 17 8 1 1 13 13 1 8 3 3 15 17 2 2 17 17 15 19 11 18 16 18 4 4 8 3 4 6 11 10 15 17 17 1 20 7 5 17 11 9 12 18 5 19 17 7 1 16 8 8 5 15 4 2 8 10 2 15 19 9 19 6 3 4 3 5 5 11
4 2 1 17 13 13 7 2 1 20 1 1 12 20 10 19 17 18 12 19 4 7 16 1 8 18 11 18 17 10 5 13 3 7 8 6 1 13 9 10 10 11 3 10 17 2 2 2 20 16 19 19 20 16 18 20 11 8 3 3 18 3 9 14 10 12 20 9 7 12 17 11 16 20 15 16 5 1 16 19 15 6 9 5 9 8 2 8 5 10 14 12 15 8 19 5 4 17 2 15 7
5 19 18 17 6 13 7 15 1 14 1 1 16 9 8 16 17 17 16 18 16 17 9 8 19 17 10 9 16 11 3 5 6 5 16 17 2 9 17 8 9 1 4 16 17 13 20 9 6 14 17 17 3 15 13 20 11 4 2 20 17 19 9 3 17 17 19 3 7 17 17 11 17 16 19 16 9 5 20 8 15 6 16 5 16 16 5 12 19 10 4 8 15 8 3 8 6 19 20 10 20
6 2 6 17 13 17 7 15 12 3 1 1 16 9 6 16 17 17 12 6 16 17 9 1 19 17 10 9 17 6 3 1 6 17 17 17 2 17 17 16 9 17 4 16 17 15 20 9 10 14 16 17 20 2 15 20 11 10 2 20 17 19 9 3 17 19 19 3 7 10 16 13 17 16 14 12 17 16 9 17 17 6 16 5 16 16 5 12 20 10 3 8 11 6 19 8 12 19 5 15 20
7 19 6 17 8 17 7 15 12 6 1 16 7 9 5 16 17 17 2 1 16 17 16 9 19 17 10 9 16 11 3 19 6 17 16 17 1 9 17 9 9 16 4 16 3 17 20 17 6 14 16 17 14 2 15 20 11 10 2 16 17 19 9 2 16 19 19 3 7 20 16 20 17 16 16 12 16 16 20 17 17 6 7 5 8 16 5 12 7 10 4 8 11 6 8 16 9 19 5 15 20
8 19 13 6 13 17 7 15 17 6 1 6 17 9 6 16 9 17 14 6 16 16 17 17 19 17 10 9 16 6 8 5 6 17 17 17 1 17 17 5 9 4 3 16 5 5 20 9 10 17 16 16 14 2 11 18 11 10 2 20 8 20 9 2 17 19 17 4 7 20 17 20 9 12 5 12 17 16 7 17 17 6 16 5 16 16 11 17 19 2 3 8 11 14 19 16 16 19 16 15 20
9 19 13 17 6 13 7 15 12 6 1 6 8 9 6 16 17 17 13 16 16 16 9 16 19 17 10 16 16 11 8 12 19 16 17 17 2 17 17 18 17 8 4 20 4 19 20 14 12 17 16 17 14 15 9 10 11 10 2 16 17 19 9 3 16 4 17 4 7 20 16 10 7 12 16 12 16 16 9 17 17 12 7 5 16 16 12 17 19 2 13 19 20 6 2 16 9 19 17 10 20
10 2 18 7 6 17 7 15 12 6 1 6 13 9 6 16 9 17 7 16 16 16 9 16 19 16 10 16 16 6 3 1 6 16 17 5 2 17 17 20 9 16 4 4 4 19 20 12 10 17 16 17 14 15 11 10 11 10 19 17 17 19 9 2 16 19 17 16 7 20 16 10 7 12 19 17 17 16 16 17 12 12 7 5 8 16 5 17 19 2 7 20 11 14 19 16 5 1 17 15 20
