INFO:root:Waypoint/> conf reading done, T_column 22
INFO:root:Waypoint/> _TaskSplitter done: [(0, [0, 1], ['.\\t01_data.star'], (29, 22, 13, 23, 25, 24)), (1, [1, 3], ['.\\t09_data.star', '.\\t11_data.star'], (29, 22, 13, 23, 25, 24))]
INFO:root:Waypoint/> process_21840 running...
INFO:root:Waypoint/process_21840/>file_list:['.\\t01_data.star'], row:100, col:1, header_length:29, CNC:22
INFO:root:Waypoint/> process_23520 running...
INFO:root:Waypoint/process_23520/>file_list:['.\\t09_data.star', '.\\t11_data.star'], row:100, col:2, header_length:29, CNC:22
INFO:root:closing-in/23520/>step_1, i = 0, j = 42, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 98, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 43, readin: 16
INFO:root:closing-in/21840/>step_1, i = 0, j = 99, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 44, readin: 9
INFO:root:closing-in/21840/>step_1, i = 0, j = 100, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 45, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 101, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 46, readin: 14
INFO:root:closing-in/21840/>step_1, i = 0, j = 102, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 47, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 103, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 48, readin: 16
INFO:root:closing-in/21840/>step_1, i = 0, j = 104, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 49, readin: 16
INFO:root:closing-in/21840/>step_1, i = 0, j = 105, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 50, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 106, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 51, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 107, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 52, readin: 19
INFO:root:closing-in/21840/>step_1, i = 0, j = 108, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 53, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 109, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 54, readin: 10
INFO:root:closing-in/21840/>step_1, i = 0, j = 110, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 55, readin: 9
INFO:root:closing-in/21840/>step_1, i = 0, j = 111, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 56, readin: 16
INFO:root:closing-in/21840/>step_1, i = 0, j = 112, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 57, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 113, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 58, readin: 8
INFO:root:closing-in/21840/>step_1, i = 0, j = 114, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 59, readin: 5
INFO:root:closing-in/21840/>step_1, i = 0, j = 115, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 60, readin: 6
INFO:root:closing-in/21840/>step_1, i = 0, j = 116, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 61, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 117, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 62, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 118, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 64, readin: 1
INFO:root:closing-in/21840/>step_1, i = 0, j = 119, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 65, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 120, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 66, readin: 17
INFO:root:closing-in/21840/>step_1, i = 0, j = 121, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 67, readin: 5
INFO:root:closing-in/21840/>step_1, i = 0, j = 122, readin: 36
INFO:root:closing-in/23520/>step_1, i = 0, j = 68, readin: 9
INFO:root:closing-in/21840/>step_1, i = 0, j = 123, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 69, readin: 4
INFO:root:closing-in/21840/>step_1, i = 0, j = 124, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 70, readin: 3
INFO:root:closing-in/21840/>step_1, i = 0, j = 125, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 71, readin: 16
INFO:root:closing-in/21840/>step_1, i = 0, j = 126, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 72, readin: 5
INFO:root:closing-in/21840/>step_1, i = 0, j = 127, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 73, readin: 5
INFO:root:closing-in/21840/>step_1, i = 0, j = 128, readin: 40
INFO:root:closing-in/23520/>step_1, i = 0, j = 74, readin: 20
INFO:root:Waypoint/> process_21840 finishing off...
INFO:root:closing-in/23520/>step_1, i = 0, j = 75, readin: 9
INFO:root:closing-in/23520/>step_1, i = 0, j = 76, readin: 10
INFO:root:closing-in/23520/>step_1, i = 0, j = 77, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 78, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 79, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 80, readin: 14
INFO:root:closing-in/23520/>step_1, i = 0, j = 81, readin: 2
INFO:root:closing-in/23520/>step_1, i = 0, j = 82, readin: 11
INFO:root:closing-in/23520/>step_1, i = 0, j = 83, readin: 18
INFO:root:closing-in/23520/>step_1, i = 0, j = 84, readin: 11
INFO:root:closing-in/23520/>step_1, i = 0, j = 85, readin: 10
INFO:root:closing-in/23520/>step_1, i = 0, j = 86, readin: 2
INFO:root:closing-in/23520/>step_1, i = 0, j = 87, readin: 20
INFO:root:closing-in/23520/>step_1, i = 0, j = 88, readin: 8
INFO:root:closing-in/23520/>step_1, i = 0, j = 89, readin: 20
INFO:root:closing-in/23520/>step_1, i = 0, j = 90, readin: 9
INFO:root:closing-in/23520/>step_1, i = 0, j = 91, readin: 2
INFO:root:closing-in/23520/>step_1, i = 0, j = 92, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 93, readin: 19
INFO:root:closing-in/23520/>step_1, i = 0, j = 94, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 95, readin: 4
INFO:root:closing-in/23520/>step_1, i = 0, j = 96, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 97, readin: 20
INFO:root:closing-in/23520/>step_1, i = 0, j = 98, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 99, readin: 20
INFO:root:closing-in/23520/>step_1, i = 0, j = 100, readin: 9
INFO:root:closing-in/23520/>step_1, i = 0, j = 101, readin: 12
INFO:root:closing-in/23520/>step_1, i = 0, j = 102, readin: 5
INFO:root:closing-in/23520/>step_1, i = 0, j = 103, readin: 12
INFO:root:closing-in/23520/>step_1, i = 0, j = 104, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 105, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 106, readin: 7
INFO:root:closing-in/23520/>step_1, i = 0, j = 107, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 108, readin: 17
INFO:root:closing-in/23520/>step_1, i = 0, j = 109, readin: 6
INFO:root:closing-in/23520/>step_1, i = 0, j = 110, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 111, readin: 5
INFO:root:closing-in/23520/>step_1, i = 0, j = 112, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 113, readin: 16
INFO:root:closing-in/23520/>step_1, i = 0, j = 114, readin: 11
